depth,recur,mean fidelity,std fidelity,mean circ_depth,std circ_depth,mean huff1 cr,std huff1 cr,mean huff2 cr,std huff2 cr,mean huff3 cr,std huff3 cr
4,1,0.9280547226923358,0.059383167909248816,14.71,4.918932811088194,0.7688669319156936,0.037067202185784236,0.40014956843981614,0.11356235323137259,0.6024223529953019,0.1628537447357975
4,2,0.9592033495119494,0.04001537071062453,56.75,13.916806386524174,0.7645860408848592,0.023105460746834713,0.539826750550014,0.07150672439687104,0.6036371088393051,0.080868021459613
4,3,0.9822257483190896,0.02063850013812508,251.88,42.456160919235266,0.7543113309185998,0.013224113353573985,0.5912917965747542,0.04034374835410601,0.6054698522193541,0.041965855952793514
4,4,0.995219132200965,0.006609275685277793,1181.5,126.98578660621826,0.7522450601798955,0.008801600880227117,0.6118635150089341,0.022758906172323835,0.6145669837079373,0.02259192399494379
4,5,0.999321382086443,0.0013245316156953544,5839.6,355.61105157179804,0.7529717167641068,0.005256473746551286,0.6247788908633687,0.012509618615980132,0.6252904972911886,0.012439179457075969
4,6,0.9999714317957077,6.444143180722237e-05,28863.94,1176.520623023668,0.7524030969636526,0.0028833820215689687,0.6292213009457938,0.006577923511429243,0.6293695826415621,0.00658276565095445
5,4,0.9994791578514025,0.0006217569406052494,1926.425,146.28497658679788,0.791116686766648,0.0061211703103667475,0.5073156901787574,0.02428544696029363,0.5100708335365566,0.0241839595621821
6,4,0.9990786297880324,0.0013445203385617278,2079.145,170.9749805527113,0.7977158306689097,0.006328414854627055,0.5161137687699907,0.019632184117551934,0.5196732246902401,0.020068412681256514
1,4,0.4804546879395065,0.2810488352128229,421.18,59.633527482449,0.7529734416448887,0.00788261294522848,0.7529734416448887,0.00788261294522848,0.7529734416448887,0.00788261294522848
2,4,0.6120608465730956,0.21396190094022383,401.735,46.37213360413774,0.7502560192985732,0.0025065628108995484,0.7552712164554708,0.01580091579393862,0.7502560192985732,0.0025065628108995484
3,4,0.9966283748478335,0.007907257602174401,917.455,78.64876334056372,0.7541375268867165,0.015571648583530972,0.5657502634310881,0.032530484338805746,0.5670354473278718,0.03229729790854691
5,1,0.9622512394622927,0.034342877805596236,18.035,4.507080540660439,0.7803480860710796,0.03231564952871864,0.3364420095869155,0.0765916281828567,0.5498143518330505,0.12504418085195676
5,2,0.9861892267801545,0.012275654125712444,80.255,13.998927637501383,0.790573558549397,0.01907269714898105,0.4628698959161274,0.05672311043457938,0.5200942607868231,0.06155245518386705
5,3,0.9960078791009853,0.004825997576509754,388.125,46.59076491108512,0.7898864249474009,0.010870786529875298,0.49793182937980796,0.03623993929627713,0.5110609872769001,0.03721105849515198
5,5,0.99997487559141,4.366244636583123e-05,9400.285,477.20801939510613,0.7912230695838925,0.004013739913602301,0.5126574228960901,0.014649948640239358,0.5132229502818269,0.014635252469036068
5,6,0.9999997641152819,3.8602990246074626e-07,46574.005,1423.0443685897499,0.7915264283352025,0.002278450657026706,0.5156126195523774,0.008104592903629429,0.5157259432274988,0.008104297926508613
6,1,0.9693057683480015,0.028918483221319416,18.825,6.032775066252677,0.7882695020725246,0.034283280942126966,0.3062731915955016,0.08712959760347293,0.5533172893522488,0.154905602650785
6,2,0.986065463515635,0.012906486646664253,84.465,18.86845979405844,0.7993282053901839,0.017184465232294246,0.4477150118277139,0.04960668412025494,0.5132747504599078,0.06174460602133345
6,3,0.9949933574277742,0.006012365512009355,427.265,56.26059700180936,0.7984392759912854,0.009456480749620928,0.4893632816401193,0.029507498189519397,0.5051655550038597,0.03119330866177186
